Date,Walk-Forward Selected by Sharpe,Walk-Forward Selected by CAGR,HAA Market-Cap Net,Sector Top-1 Net,Sector Top-2 Net,Sector Top-2 SHY Net,VTI Buy and Hold,SPY Buy and Hold
2017-02-28,0.0160909701403817,0.0527673709086209,0.0160909701403817,0.0527673709086209,0.0456982760677278,0.0456982760677278,0.0369485440249377,0.0392916981248154
2017-03-31,-0.0010225440349151,-0.0295614522458156,-0.0010225440349151,-0.0295614522458156,-0.0039003522691915,-0.0039003522691915,0.0005526129729451,0.0012499171080391
2017-04-30,0.0091089316265722,-0.0084280638312256,0.0091089316265722,-0.0084280638312256,0.0058215049348496,0.0058215049348496,0.0106330853099994,0.0099261612801206
2017-05-31,-0.0209196728454372,0.0390367986332801,-0.0209196728454372,0.0390367986332801,0.0138185323886634,0.0138185323886634,0.0101133499866965,0.0141131498822193
2017-06-30,0.0058747948552697,-0.0281184239626552,0.0058747948552697,-0.0281184239626552,-0.0075528795312738,-0.0075528795312738,0.0094729879717838,0.0063747948552697
2017-07-31,0.0013594854650584,0.0077023792837992,0.0013594854650584,0.0077023792837992,0.0157258132903675,0.0013594854650584,0.0188026148245441,0.0205539915116148
2017-08-31,0.0020236231665384,0.0175243694373024,0.0020236231665384,0.0175243694373024,0.02520351239423,0.0020236231665384,0.0014984883118878,0.0029177308191798
2017-09-30,0.019649541771794,0.0076780952613106,0.019649541771794,0.0076780952613106,0.0292539295692923,0.0292539295692923,0.0244007579839879,0.020149541771794
2017-10-31,-0.0014118296829216,-0.0080860818007631,-0.0014118296829216,-0.0080860818007631,0.0152168518189477,-0.0014118296829216,0.0216954228654977,0.0235641295248307
2017-11-30,0.0344985913919221,0.0136383957700291,0.0344985913919221,0.0136383957700291,0.0238624111438659,0.0238624111438659,0.0303031301991036,0.0305656774693912
2017-12-31,-0.0052566357823071,0.0054576235145518,-0.0052566357823071,0.0054576235145518,0.0121696074429771,0.0121696074429771,0.0116102406530691,0.0121279812277568
2018-01-31,0.0558594563570988,0.0558594563570988,0.0558594563570988,0.0703674558177429,0.0679676298975539,0.0679676298975539,0.0523134454590572,0.0563594563570988
2018-02-28,-0.0363607239417598,-0.0363607239417598,-0.0363607239417598,-0.004090552128708,-0.0196406759363625,-0.0196406759363625,-0.0375963447398707,-0.0363607239417598
