Date,Top-2 SHY Canary=TIP,Top-2 SHY Canary=SPY,Top-2 SHY Canary=VTI,Top-2 SHY Canary=SHY,VTI Buy and Hold,SPY Buy and Hold
2007-08-31,0.00589106630119926,0.00589106630119926,0.00589106630119926,0.00589106630119926,0.014711880473881278,0.01283307579520776
2007-09-30,0.0556379496354695,0.0556379496354695,0.0556379496354695,0.0556379496354695,0.03846748004240452,0.03871443097588445
2007-10-31,0.005999796897292103,0.005999796897292103,0.005999796897292103,0.005999796897292103,0.0179231686569028,0.013566304795971096
2007-11-30,-0.0589820841914285,-0.0589820841914285,-0.0589820841914285,-0.0589820841914285,-0.04522135446726039,-0.038732337976176257
2007-12-31,0.04048930131433978,0.04048930131433978,0.04048930131433978,0.04048930131433978,-0.006944964813378807,-0.011261106276478028
2008-01-31,-0.12564029336146051,0.016046547070231953,0.016046547070231953,-0.12564029336146051,-0.061659990559079114,-0.06046065730174521
2008-02-29,0.03595104722705997,0.010332133615612582,0.010332133615612582,0.03595104722705997,-0.024964212331155533,-0.02584273132342485
2008-03-31,0.006471886264238835,0.0025347873795482645,0.0025347873795482645,0.006471886264238835,-0.008946166761381824,-0.008942471734053825
2008-04-30,0.06662309824752122,-0.00837395322560297,-0.00837395322560297,0.06662309824752122,0.04885511781536578,0.04766281462763122
2008-05-31,0.03041000415918682,-0.0034619596784022377,-0.0034619596784022377,0.03041000415918682,0.020159889387659558,0.015115957619196374
2008-06-30,-0.03130969447490037,0.0024545913455225055,0.0024545913455225055,-0.03130969447490037,-0.08120771561925455,-0.08357552763931275
2008-07-31,-0.09178768946042559,0.004343772210702257,0.004343772210702257,-0.09178768946042559,-0.006241463337011477,-0.008985774443587058
2008-08-31,0.010628406687563485,0.004664228614868149,0.004664228614868149,0.010628406687563485,0.014602277309142542,0.015453309855068209
2008-09-30,-0.13689398650934187,0.007777684586197431,0.007777684586197431,-0.13689398650934187,-0.09241071196138873,-0.09417312696182523
2008-10-31,0.01054798504830029,0.01104798504830029,0.01104798504830029,-0.1799056849276136,-0.17477750677256576,-0.1651869321791819
2008-11-30,0.011052278547304839,0.011052278547304839,0.011052278547304839,-0.09646931268596873,-0.08014941153647881,-0.06960639085753417
2008-12-31,0.005630030778253525,0.005630030778253525,0.005630030778253525,0.007608456462303931,0.01766131699600204,0.009796345840573428
